oid_the;ms_bait;shem_rechov;knisa;shem;ms_tel1;ms_tel2;k_negishut;shem_angli;date_import
1;8;??? ????; ;?????? ??????;6812126;6828729;0;Hasimta Theater;14/04/2017 02:57:12
2;2;"???""?"; ;??????? ?????? ?????;5266666/8;6295555;1;Habima National Theater;14/04/2017 02:57:12
3;9;???????; ;??????  ???;5157000;;1;Noga Theater;14/04/2017 02:57:12
4;30;?? ????'? ???????; ;??????? ??????;6060960;;1;Cameri Theater;14/04/2017 02:57:12
5;101;???????; ;?????? ??? ????;7255333;;0;Beit Lessin Theater;14/04/2017 02:57:12
6;6;????? ?????;;???? ?? ????;6330808;;1;;14/04/2017 02:57:12
7;10;???? ????;;??????? ???- ??? ?????? ????? ?????;5185563;;1;;14/04/2017 02:57:12
8;116;???????;;??????? ???? ?????? ?? ???? ?????;6885004;;1;;14/04/2017 02:57:12
9;116;???????;;"???? 209 ?""? ?? ??????";5372096;;1;;14/04/2017 02:57:12
10;2;??? ???;;?????? ??? ???????;5335444;;1;;14/04/2017 02:57:12
11;38;?????;;??????? ???? ?????;6399090;6879219;1;;14/04/2017 02:57:12
